title,author,journal,issn,volume,pages,date,display_date,doi,citations,year
"Learning and performance as functions of ration size, hours of privation, and effort requirement",Jensen G.D.,Journal of Experimental Psychology,00221015,59,261-268,1960-04-01,April 1960,10.1037/h0044901,3,1960
Relationship between MAS scores and association values of nonsense syllables,Trapp E.P.,Journal of Experimental Psychology,00221015,59,233-238,1960-04-01,April 1960,10.1037/h0042197,1,1960
Studies in incidental learning: VIII. The effects of contextual determination,Postman L.,Journal of Experimental Psychology,00221015,59,153-164,1960-03-01,March 1960,10.1037/h0043216,11,1960
Evidence for a selective process during perception of tachistoscopically presented stimuli,Brown J.,Journal of Experimental Psychology,00221015,59,176-181,1960-03-01,March 1960,10.1037/h0041413,17,1960
Effect of amount of preconditioning training upon the magnitude of sensory preconditioning,Hoffeld D.,Journal of Experimental Psychology,00221015,59,198-204,1960-03-01,March 1960,10.1037/h0048857,24,1960
The effect of stimulus similarity on amount of cue-position patterning in discrimination problems,White B.,Journal of Experimental Psychology,00221015,59,131-136,1960-02-01,February 1960,10.1037/h0044970,3,1960
Eliminating a conditioned GSR by the reduction of experimental anxiety,Silverman R.,Journal of Experimental Psychology,00221015,59,122-125,1960-02-01,February 1960,10.1037/h0045555,7,1960
"""Association"" of nonsense syllables following varied learning conditions",Camp B.W.,Journal of Experimental Psychology,00221015,59,35-40,1960-01-01,January 1960,10.1037/h0046756,0,1960
Retention of responses to stimulus classes and to specific stimuli,Lloyd K.E.,Journal of Experimental Psychology,00221015,59,54-59,1960-01-01,January 1960,10.1037/h0043694,0,1960
The intertrial interval in classical conditioning,Prokasy W.F.,Journal of Experimental Psychology,00221015,62,560-564,1961-12-01,December 1961,10.1037/h0044477,3,1961
Short-term retention as a function of average storage load and average load reduction,Reid L.S.,Journal of Experimental Psychology,00221015,62,518-522,1961-11-01,November 1961,10.1037/h0047815,2,1961
Conditional response probability in a T maze,Witte R.,Journal of Experimental Psychology,00221015,62,439-447,1961-11-01,November 1961,10.1037/h0048157,1,1961
The prediction of free recall from word association measures,Rothkopf E.,Journal of Experimental Psychology,00221015,62,433-438,1961-11-01,November 1961,10.1037/h0040159,5,1961
Learning with reduced feedback information,Shelly M.,Journal of Experimental Psychology,00221015,62,209-222,1961-09-01,September 1961,10.1037/h0049045,0,1961
Eyelid conditioning performance as a function of emotion-producing instructions,Spence K.,Journal of Experimental Psychology,00221015,62,291-294,1961-09-01,September 1961,10.1037/h0043915,9,1961
Copying redundant messages,Hogan J.A.,Journal of Experimental Psychology,00221015,62,153-157,1961-08-01,August 1961,10.1037/h0040130,4,1961
T-maze reversal following differential endbox placement,Ison J.R.,Journal of Experimental Psychology,00221015,62,200-202,1961-08-01,August 1961,10.1037/h0043328,0,1961
Effects of variable magnitude of reward on a lever-pulling response,Lewis D.J.,Journal of Experimental Psychology,00221015,62,203-205,1961-08-01,August 1961,10.1037/h0048252,3,1961
"The relationship between the galvanic skin response, vasoconstriction, and tactile sensitivity",Edelberg R.,Journal of Experimental Psychology,00221015,62,187-195,1961-08-01,August 1961,10.1037/h0044871,19,1961
Generalization gradients in a discrimination situation,Laberge D.,Journal of Experimental Psychology,00221015,62,88-94,1961-07-01,July 1961,10.1037/h0043035,11,1961
"Acquisition of perceptual responses as a function of loading, location, and repetition",Karn H.,Journal of Experimental Psychology,00221015,62,62-69,1961-07-01,July 1961,10.1037/h0046069,0,1961
Supplementary report: Effect of practice on an illusion,Rethlingshafer D.,Journal of Experimental Psychology,00221015,62,95-96,1961-07-01,July 1961,10.1037/h0044338,0,1961
The empirical determination of game-theoretical strategies,Kaufman H.,Journal of Experimental Psychology,00221015,61,462-468,1961-06-01,June 1961,10.1037/h0041578,8,1961
Analysis of double alternation in terms of patterns of stimuli and responses,Schoonard J.,Journal of Experimental Psychology,00221015,61,365-367,1961-05-01,May 1961,10.1037/h0041599,2,1961
Effects of various asymptotic restrictions on human trial-and-error learning,Chambers R.W.,Journal of Experimental Psychology,00221015,61,417-421,1961-05-01,May 1961,10.1037/h0044603,2,1961
Mathematical solution in the acquisition of a verbal CR,Das J.P.,Journal of Experimental Psychology,00221015,61,376-378,1961-05-01,May 1961,10.1037/h0043173,0,1961
Response latencies produced by massed and spaced learning of a paired-associates list,Brown J.,Journal of Experimental Psychology,00221015,61,360-364,1961-05-01,May 1961,10.1037/h0048178,6,1961
Information content in recognition and recall,Davis R.,Journal of Experimental Psychology,00221015,61,422-429,1961-05-01,May 1961,10.1037/h0044848,20,1961
The role of overlearning trials in determining resistance to extinction,Murillo N.,Journal of Experimental Psychology,00221015,61,345-349,1961-04-01,April 1961,10.1037/h0045227,0,1961
Acquisition and transfer in pattern-vs.-component discrimination learning,Estes W.K.,Journal of Experimental Psychology,00221015,61,322-328,1961-04-01,April 1961,10.1037/h0044590,15,1961
The effect of speed-up instructions on spatial stimulus generalization,Harleston B.,Journal of Experimental Psychology,00221015,61,242-244,1961-03-01,March 1961,10.1037/h0042574,0,1961
Discrimination and mediated generalization in probability learning,Shaffer J.P.,Journal of Experimental Psychology,00221015,64,593-599,1962-12-01,December 1962,10.1037/h0045370,0,1962
Concept identification under misinformation and subsequent informative feedback conditions,Johannsen W.J.,Journal of Experimental Psychology,00221015,64,631-635,1962-12-01,December 1962,10.1037/h0041967,2,1962
Some effects of the percentage of relevant cues and presentation methods on concept identification,Peterson M.J.,Journal of Experimental Psychology,00221015,64,623-627,1962-12-01,December 1962,10.1037/h0044021,7,1962
An evaluation of the activationist hypothesis of human vigilance,Adams J.A.,Journal of Experimental Psychology,00221015,64,495-504,1962-11-01,November 1962,10.1037/h0045124,6,1962
Spatial S-R contiguity in human discrimination learning,Standish C.,Journal of Experimental Psychology,00221015,64,545-548,1962-11-01,November 1962,10.1037/h0045458,0,1962
On-target versus off-target information and the acquisition of tracking skill,Williams A.,Journal of Experimental Psychology,00221015,64,519-525,1962-11-01,November 1962,10.1037/h0044468,10,1962
Work decrement and reminiscence in pigeon operant responding,Boneau C.A.,Journal of Experimental Psychology,00221015,64,352-354,1962-10-01,October 1962,10.1037/h0047944,19,1962
Effects of nonreinforcement on subsequently reinforced running behavior,Harris S.J.,Journal of Experimental Psychology,00221015,64,388-392,1962-10-01,October 1962,10.1037/h0045586,5,1962
Discrimination of the reward in learning with partial and continuous reinforcement,Hulse S.H.,Journal of Experimental Psychology,00221015,64,227-233,1962-09-01,September 1962,10.1037/h0046104,1,1962
"Prediction of preference, transposition, and transposition-reversal from the generalization gradient",Honig W.,Journal of Experimental Psychology,00221015,64,239-248,1962-09-01,September 1962,10.1037/h0048290,41,1962
Factors in the retention and relearning of perceptual-motor skill,Fleishman E.,Journal of Experimental Psychology,00221015,64,215-226,1962-09-01,September 1962,10.1037/h0041220,68,1962
Influence of a small number of partial reinforcement training trials on resistance to extinction,Capaldi E.,Journal of Experimental Psychology,00221015,64,166-171,1962-08-01,August 1962,10.1037/h0046371,9,1962
Contiguous conditioning,Brogden W.,Journal of Experimental Psychology,00221015,64,172-176,1962-08-01,August 1962,10.1037/h0041034,7,1962
Postconditioning delay and intensity of shock as factors in the measurement of acquired fear,McAllister W.,Journal of Experimental Psychology,00221015,64,110-116,1962-08-01,August 1962,10.1037/h0043057,12,1962
Sequential interferences demonstrated by serial reconstructions,Coleman E.,Journal of Experimental Psychology,00221015,64,46-51,1962-07-01,July 1962,10.1037/h0043191,1,1962
Supplementary report: Effects of instructions on extinction and recovery of a conditioned avoidance response,Moyer K.,Journal of Experimental Psychology,00221015,64,95-96,1962-07-01,July 1962,10.1037/h0041408,4,1962
Spontaneous recovery interval as a factor in reacquisition of T maze behavior,Cotton J.,Journal of Experimental Psychology,00221015,63,555-562,1962-06-01,June 1962,10.1037/h0048962,1,1962
Keeping track of variables that have few or many states,Yntema D.,Journal of Experimental Psychology,00221015,63,391-395,1962-04-01,April 1962,10.1037/h0045706,49,1962
The effect of stimulus similarity on the acquisition and extinction of a conditioned response,Hunt D.P.,Journal of Experimental Psychology,00221015,63,278-283,1962-03-01,March 1962,10.1037/h0039049,0,1962
Evidence for shift effects in the consummatory response,Premack D.,Journal of Experimental Psychology,00221015,63,284-288,1962-03-01,March 1962,10.1037/h0039368,7,1962
Predicting instrumental performance from the independent rates of contingent responses in a choice situation,Brownstein A.,Journal of Experimental Psychology,00221015,63,29-31,1962-01-01,January 1962,10.1037/h0044905,1,1962
Preference probability between gambles as a step function of event probability,Luce R.,Journal of Experimental Psychology,00221015,63,42-49,1962-01-01,January 1962,10.1037/h0043098,1,1962
Shape-constancy: Dependence upon stimulus familiarity,Borresen C.,Journal of Experimental Psychology,00221015,63,91-97,1962-01-01,January 1962,10.1037/h0042085,6,1962
Extinction effects following nondifferential reinforcement of an irrelevant stimulus,Sperling S.E.,Journal of Experimental Psychology,00221015,63,50-56,1962-01-01,January 1962,10.1037/h0042329,0,1962
A factorial analysis of verbal learning tasks,Games P.A.,Journal of Experimental Psychology,00221015,63,1-11,1962-01-01,January 1962,10.1037/h0041332,10,1962
Latent extinction as a function of number and duration of pre-extinction exposures,Dyal J.,Journal of Experimental Psychology,00221015,63,98-104,1962-01-01,January 1962,10.1037/h0045056,11,1962
Protective self-pacing during learning,Saufley W.,Journal of Experimental Psychology,00221015,66,596-600,1963-12-01,December 1963,10.1037/h0048454,3,1963
Spontaneous recovery interval as a factor in reacquisition of T maze behavior: Erratum,Cotton J.,Journal of Experimental Psychology,00221015,66,600,1963-12-01,December 1963,10.1037/h0038755,0,1963
Persistence of nonreinforced responding as a function of the direction of a prior-ordered incentive shift,Marx M.,Journal of Experimental Psychology,00221015,66,542-546,1963-12-01,December 1963,10.1037/h0048886,2,1963
Relations between physiological responses to environmental heat and time judgments,Bell C.,Journal of Experimental Psychology,00221015,66,572-579,1963-12-01,December 1963,10.1037/h0048993,19,1963
Effect of goal box similarity on the after-effect of nonreinforcement and resistance to extinction,Capaldi E.,Journal of Experimental Psychology,00221015,66,461-465,1963-11-01,November 1963,10.1037/h0043297,9,1963
Relationships between choice time and frequency during discrimination training and generalization tests,Wollen K.,Journal of Experimental Psychology,00221015,66,474-484,1963-11-01,November 1963,10.1037/h0048992,2,1963
Effects of labels on children's perception and discrimination learning,Katz P.,Journal of Experimental Psychology,00221015,66,423-428,1963-11-01,November 1963,10.1037/h0045107,28,1963
Effects of knowledge of results on a verbal mediating response,Peterson M.J.,Journal of Experimental Psychology,00221015,66,394-398,1963-10-01,October 1963,10.1037/h0041190,0,1963
Effect of amount and distribution of inspection time and length of decay interval on kinesthetic after-effect,Carlson J.B.,Journal of Experimental Psychology,00221015,66,377-382,1963-10-01,October 1963,10.1037/h0044406,1,1963
Discrimination of rewards as a function of contrast in reward stimuli,Berkley M.A.,Journal of Experimental Psychology,00221015,66,371-376,1963-10-01,October 1963,10.1037/h0041735,0,1963
Role of positional cues in serial rote learning,Winnick W.,Journal of Experimental Psychology,00221015,66,419-421,1963-10-01,October 1963,10.1037/h0043641,7,1963
Reversal performance by rats following overlearning with and without irrelevant stimuli,Clayton K.,Journal of Experimental Psychology,00221015,66,255-259,1963-09-01,September 1963,10.1037/h0048453,2,1963
Effect of pattern of reinforcement on the conditioned eyelid response,Passey G.,Journal of Experimental Psychology,00221015,66,241-244,1963-09-01,September 1963,10.1037/h0042983,1,1963
Effects of instruction on extinction of the conditioned GSR,Wickens D.D.,Journal of Experimental Psychology,00221015,66,235-240,1963-09-01,September 1963,10.1037/h0048932,15,1963
Learning of interval concepts: I. Effects of differences in stimulus weights,Uhl C.,Journal of Experimental Psychology,00221015,66,264-273,1963-09-01,September 1963,10.1037/h0043611,16,1963
Effects of delay on subsequent running under immediate reinforcement,Sgro J.A.,Journal of Experimental Psychology,00221015,66,260-263,1963-09-01,September 1963,10.1037/h0042389,9,1963
Retinal and assumed size cues as determinants of size and distance perception,Baird J.,Journal of Experimental Psychology,00221015,66,155-162,1963-08-01,August 1963,10.1037/h0046554,30,1963
Response equivocation and reaction time,Morin R.,Journal of Experimental Psychology,00221015,66,30-36,1963-07-01,July 1963,10.1037/h0046742,6,1963
Conditioning of motor and verbal responses to nonverbal stimuli,Bousfield W.A.,Journal of Experimental Psychology,00221015,66,47-52,1963-07-01,July 1963,10.1037/h0049008,0,1963
Human reinforcement: Experimenter and subject controlled,Marston A.,Journal of Experimental Psychology,00221015,66,91-94,1963-07-01,July 1963,10.1037/h0044844,19,1963
"""Effect of Continued Nonreinforcement on the Frustration Effect"": Erratum",McHose J.H.,Journal of Experimental Psychology,00221015,65,620,1963-06-01,June 1963,10.1037/h0038576,0,1963
Differential GSR conditioning as a function of the CS-UCS interval,Kimmel H.,Journal of Experimental Psychology,00221015,65,559-563,1963-06-01,June 1963,10.1037/h0040417,7,1963
Effect of continued nonreinforcement on the frustration effect,McHose J.,Journal of Experimental Psychology,00221015,65,444-450,1963-05-01,May 1963,10.1037/h0048142,4,1963
Short-term retention of single paired associates,Murdock B.,Journal of Experimental Psychology,00221015,65,433-443,1963-05-01,May 1963,10.1037/h0040191,17,1963
"Preference for bar pressing over ""freeloading"" as a function of number of rewarded presses",Jensen G.D.,Journal of Experimental Psychology,00221015,65,451-454,1963-05-01,May 1963,10.1037/h0049174,173,1963
Effect of instructions and information on problem solving,Duncan C.P.,Journal of Experimental Psychology,00221015,65,321-327,1963-04-01,April 1963,10.1037/h0040017,4,1963
Stimulus emphasis and all-or-none learning in concept identification,Trabasso T.,Journal of Experimental Psychology,00221015,65,398-406,1963-04-01,April 1963,10.1037/h0042620,25,1963
A replication of facilitation of concept formation through mediated generalization,Higgins J.,Journal of Experimental Psychology,00221015,65,421-422,1963-04-01,April 1963,10.1037/h0038749,0,1963
A replication of overlearning and reversal in a T maze,Hill W.F.,Journal of Experimental Psychology,00221015,65,317,1963-03-01,March 1963,10.1037/h0042417,1,1963
Human reinforcement: Vicarious and direct,Kanfer F.H.,Journal of Experimental Psychology,00221015,65,292-296,1963-03-01,March 1963,10.1037/h0045972,22,1963
Effects of incentive magnitude on running speeds without competing responses in acquisition and extinction,Marx M.,Journal of Experimental Psychology,00221015,65,182-189,1963-02-01,February 1963,10.1037/h0043255,2,1963
R-S learning and negative transfer effects with a mixed list,Kausler D.A.,Journal of Experimental Psychology,00221015,65,201-205,1963-02-01,February 1963,10.1037/h0039958,2,1963
Performance in differential conditioning as a function of variation in magnitude of reward,Goldstein H.,Journal of Experimental Psychology,00221015,65,86-93,1963-01-01,January 1963,10.1037/h0043767,6,1963
Beta motion thresholds,Sgro F.J.,Journal of Experimental Psychology,00221015,66,281-285,1963-01-01,September 1963,10.1037/h0044820,8,1963
Classical eyelid conditioning as a function of sustained and shifted interstimulus intervals,Ebel H.C.,Journal of Experimental Psychology,00221015,65,52-58,1963-01-01,January 1963,10.1037/h0048115,64,1963
Effects of delay of informative feedback and length of postfeedback interval on concept identification,Bourne L.E.,Journal of Experimental Psychology,00221015,65,1-5,1963-01-01,January 1963,10.1037/h0046994,38,1963
Response strength and self-reinforcement,Marston A.,Journal of Experimental Psychology,00221015,68,537-540,1964-12-01,December 1964,10.1037/h0048716,3,1964
S-R stimulus selection and strength of R-S association,Houston J.,Journal of Experimental Psychology,00221015,68,563-566,1964-12-01,December 1964,10.1037/h0048435,4,1964
Effects of ready signal condition on acquisition and extinction of the conditioned eyelid response,Price L.,Journal of Experimental Psychology,00221015,68,516-518,1964-11-01,November 1964,10.1037/h0040070,0,1964
Partial-reinforcement extinction effect as a function of size of goal box,Kirkpatrick D.,Journal of Experimental Psychology,00221015,68,515-516,1964-11-01,November 1964,10.1037/h0041075,1,1964
Muscle-action potentials and estimated probability of success,Diggory J.C.,Journal of Experimental Psychology,00221015,68,449-455,1964-11-01,November 1964,10.1037/h0046191,11,1964
Interactive effects within visual patterns on the discriminability of individual elements,Harcum E.R.,Journal of Experimental Psychology,00221015,68,351-356,1964-10-01,October 1964,10.1037/h0049087,1,1964
Stimulus generalization of the conditioned eyelid response to structurally similar nonsense syllables,Abbott D.,Journal of Experimental Psychology,00221015,68,368-371,1964-10-01,October 1964,10.1037/h0044582,0,1964
Transfer in perceptual learning following stimulus predifferentiation,Ellis H.C.,Journal of Experimental Psychology,00221015,68,388-395,1964-10-01,October 1964,10.1037/h0043488,18,1964
Size of rehearsal group and short-term memory,Wickelgren W.,Journal of Experimental Psychology,00221015,68,413-419,1964-10-01,October 1964,10.1037/h0043584,84,1964
"Effect of N-length, number of different N-lengths, and number of reinforcements on resistance to extinction",Capaldi E.,Journal of Experimental Psychology,00221015,68,230-239,1964-09-01,September 1964,10.1037/h0047885,49,1964
Changes in two EEG rhythms during mental activity,Glanzer M.,Journal of Experimental Psychology,00221015,68,273-283,1964-09-01,September 1964,10.1037/h0046329,8,1964
Opposed generalization gradients based upon conditional discrimination training,Boneau C.,Journal of Experimental Psychology,00221015,68,89-93,1964-07-01,July 1964,10.1037/h0045926,16,1964
An analysis of summated generalization,Laberge D.,Journal of Experimental Psychology,00221015,68,71-79,1964-07-01,July 1964,10.1037/h0044690,2,1964
Number of categories and category information in free recall,Dallett K.,Journal of Experimental Psychology,00221015,68,1-12,1964-07-01,July 1964,10.1037/h0049092,24,1964
Stimulus overlap in a massed-trial situation,Ginsberg R.,Journal of Experimental Psychology,00221015,67,553-559,1964-06-01,June 1964,10.1037/h0048185,0,1964
Partial reinforcement effect and extinction as a function of frustration and interfering responses,Longstreth L.,Journal of Experimental Psychology,00221015,67,581-586,1964-06-01,June 1964,10.1037/h0043760,1,1964
Conditioning of the alpha rhythm in man,Albino R.,Journal of Experimental Psychology,00221015,67,539-544,1964-06-01,June 1964,10.1037/h0042695,9,1964
Handling-gentling as a positive secondary reinforcer,Sperling S.E.,Journal of Experimental Psychology,00221015,67,573-576,1964-06-01,June 1964,10.1037/h0042560,6,1964
Concept learning and probability matching,Mandler G.,Journal of Experimental Psychology,00221015,67,514-522,1964-06-01,June 1964,10.1037/h0045664,3,1964
Grouping based on phenomenal proximity,Rock I.,Journal of Experimental Psychology,00221015,67,531-538,1964-06-01,June 1964,10.1037/h0046557,80,1964
Effects of nonlinear and discrete transformations of feedback information on human tracking performance,Hunt D.,Journal of Experimental Psychology,00221015,67,486-494,1964-05-01,May 1964,10.1037/h0048501,4,1964
Mean amount of reinforcement and instrumental response strength,Hulse S.H.,Journal of Experimental Psychology,00221015,67,417-422,1964-05-01,May 1964,10.1037/h0040625,1,1964
Acquisition and reversal of a spatial response as a function of sucrose concentration,Ison J.R.,Journal of Experimental Psychology,00221015,67,495-496,1964-05-01,May 1964,10.1037/h0042572,0,1964
Concept acquisition as a function of stimulus-equivalence pretraining with identical and dissimilar stimuli,Petre R.D.,Journal of Experimental Psychology,00221015,67,360-364,1964-04-01,April 1964,10.1037/h0041435,1,1964
Prediction of auditory discrimination learning and transposition from children's auditory ordering ability,Riley D.,Journal of Experimental Psychology,00221015,67,324-329,1964-04-01,April 1964,10.1037/h0040309,6,1964
Effect of UCS intensity on the acquisition and extinction of an avoidance response,Moyer K.E.,Journal of Experimental Psychology,00221015,67,352-359,1964-04-01,April 1964,10.1037/h0039933,51,1964
Reaction time and alpha blocking in normal and severely subnormal subjects,Hermelin B.,Journal of Experimental Psychology,00221015,67,365-372,1964-04-01,April 1964,10.1037/h0048190,14,1964
Effect of instructional set on responses to complex sounds,Rule S.J.,Journal of Experimental Psychology,00221015,67,215-220,1964-03-01,March 1964,10.1037/h0047926,2,1964
Effect of constant versus varied pairing of simultaneous intentional- and incidental-learning materials with different rates and numbers of exposures,Miller M.E.,Journal of Experimental Psychology,00221015,67,256-262,1964-03-01,March 1964,10.1037/h0048242,0,1964
Paired-associate learning with massed and distributed repetitions of items,Greeno J.G.,Journal of Experimental Psychology,00221015,67,286-295,1964-03-01,March 1964,10.1037/h0044977,31,1964
Primary stimulus generalization under different percentages of reinforcement in eyelid conditioning,Vandament W.,Journal of Experimental Psychology,00221015,67,162-167,1964-02-01,February 1964,10.1037/h0042479,1,1964
Choice between magnitude and percentage or reinforcement,Spear N.E.,Journal of Experimental Psychology,00221015,68,44-52,1964-01-01,July 1964,10.1037/h0041883,4,1964
Geometric and arithmetic means as indexes of UCS intensity with variable reinforcement,Passey G.,Journal of Experimental Psychology,00221015,67,7-10,1964-01-01,January 1964,10.1037/h0048763,0,1964
Reversal of conditioned discrimination of the eyelid response,Levy M.C.,Journal of Experimental Psychology,00221015,67,80-82,1964-01-01,January 1964,10.1037/h0045860,1,1964
Clustering as a function of response dominance,Bousfield W.A.,Journal of Experimental Psychology,00221015,67,76-79,1964-01-01,January 1964,10.1037/h0040012,13,1964
Test for a learned drive based on the hunger drive,Wright J.,Journal of Experimental Psychology,00221015,70,580-584,1965-12-01,December 1965,10.1037/h0022688,6,1965
Intrasession decrements in the performance of the classically conditioned eyelid reflex,Runquist W.,Journal of Experimental Psychology,00221015,70,520-525,1965-11-01,November 1965,10.1037/h0022540,6,1965
Use of negative slope transformations of knowledge of results on a simple motor response,Schumsky D.,Journal of Experimental Psychology,00221015,70,534-536,1965-11-01,November 1965,10.1037/h0022533,0,1965
Transfer of a pattern versus component discrimination following training in a probabilistic situation,Johns M.,Journal of Experimental Psychology,00221015,70,506-509,1965-11-01,November 1965,10.1037/h0022535,3,1965
Short-term recognition memory for single digits and pairs of digits,Norman D.,Journal of Experimental Psychology,00221015,70,479-489,1965-11-01,November 1965,10.1037/h0022544,33,1965
Internal consistency of subjective probabilities,Peterson C.R.,Journal of Experimental Psychology,00221015,70,526-533,1965-11-01,November 1965,10.1037/h0022546,24,1965
Sequential dependencies in children's probability learning,Bogartz R.,Journal of Experimental Psychology,00221015,70,365-370,1965-10-01,October 1965,10.1037/h0022372,8,1965
"Acquisition-transfer and retention of S-R, S-R associations as a function of S-R, S-R pattern",Popp R.,Journal of Experimental Psychology,00221015,70,304-308,1965-09-01,September 1965,10.1037/h0022253,2,1965
Choice reaction with variable S-R mapping,Shaffer L.H.,Journal of Experimental Psychology,00221015,70,284-288,1965-09-01,September 1965,10.1037/h0022207,144,1965
Relationship between static and dynamic visual acuity,Weissman S.,Journal of Experimental Psychology,00221015,70,141-146,1965-08-01,August 1965,10.1037/h0022214,21,1965
Time estimation and increases in body temperature,Bell C.,Journal of Experimental Psychology,00221015,70,232-234,1965-08-01,August 1965,10.1037/h0022192,13,1965
Human probability learning with forced training trials and certain and uncertain outcome choice trials,Arima J.,Journal of Experimental Psychology,00221015,70,43-50,1965-07-01,July 1965,10.1037/h0021996,2,1965
Primacy and recency effects in serial-position curves of immediate recall,Jahnke J.,Journal of Experimental Psychology,00221015,70,130-132,1965-07-01,July 1965,10.1037/h0022013,46,1965
Effect of overtraining on reversal and extradimensional shifts,Tighe T.J.,Journal of Experimental Psychology,00221015,70,13-17,1965-07-01,July 1965,10.1037/h0022053,6,1965
Acoustic similarity and intrusion errors in short-term memory,Wickelgren W.,Journal of Experimental Psychology,00221015,70,102-108,1965-07-01,July 1965,10.1037/h0022015,106,1965
Effects of food and water deprivation on the performance of response motivated by acquired fear,Ley R.,Journal of Experimental Psychology,00221015,69,583-589,1965-06-01,June 1965,10.1037/h0022067,9,1965
Stimulus durations and total learning time in paired-associates learning,Nodine C.,Journal of Experimental Psychology,00221015,69,534-536,1965-05-01,May 1965,10.1037/h0021779,1,1965
Distribution and sequence effects in judgment,Parducci A.,Journal of Experimental Psychology,00221015,69,450-459,1965-05-01,May 1965,10.1037/h0021719,22,1965
Effects of CS and UCS change on extinction of the conditioned eyelid response,Price L.,Journal of Experimental Psychology,00221015,69,437-438,1965-04-01,April 1965,10.1037/h0021769,3,1965
Subjective intensity of mineral taste in water,Bruvold W.,Journal of Experimental Psychology,00221015,69,369-374,1965-04-01,April 1965,10.1037/h0021744,12,1965
Effects of stimulus change upon the GSR and reaction time,Grim P.,Journal of Experimental Psychology,00221015,69,276-281,1965-03-01,March 1965,10.1037/h0021739,4,1965
Similarity in stimulus material and stimulus task on the formation of a new scale of judgment,Tresselt M.,Journal of Experimental Psychology,00221015,69,241-245,1965-03-01,March 1965,10.1037/h0021725,0,1965
"Test of the ""limited capacity"" hypothesis",Murdock B.,Journal of Experimental Psychology,00221015,69,237-240,1965-03-01,March 1965,10.1037/h0021796,6,1965
"Differential conditioning extinction, and secondary reinforcement",Black R.W.,Journal of Experimental Psychology,00221015,69,67-74,1965-01-01,January 1965,10.1037/h0021625,1,1965
UCS intensity and the associative strength of the eyelid CR with a masked conditioning procedure,Homzie M.,Journal of Experimental Psychology,00221015,69,101-103,1965-01-01,January 1965,10.1037/h0021577,0,1965
Reversal and nonreversal shift learning in normal children and retardates of comparable mental age,Sanders B.,Journal of Experimental Psychology,00221015,69,84-88,1965-01-01,January 1965,10.1037/h0021683,7,1965
Prediction on the basis of conditional probabilities,Howell W.,Journal of Experimental Psychology,00221015,69,92-99,1965-01-01,January 1965,10.1037/h0021595,2,1965
Extinction as a function of the order of partial and consistent reinforcement,Sutherland N.,Journal of Experimental Psychology,00221015,69,56-59,1965-01-01,January 1965,10.1037/h0021631,29,1965
Acquisition and extinction after initial trials without reward,Spear N.E.,Journal of Experimental Psychology,00221015,69,25-29,1965-01-01,January 1965,10.1037/h0021628,18,1965
